Model,Mean_fit_time,Mean_score_time,mean_train_score,mean_test_score
TFIDFGaussianNB,3.179749489,0.341479492,0.717047368,0.709347368
W2VLinearSVC,231.0877148,18.04163432,0.704042105,0.697221053
W2VLogisticRegression,311.426476,13.42778425,0.698010526,0.694336842
TFIDFMultinomialNB,2.941520929,0.250668859,0.785647368,0.763663158
TFIDFGaussianNB,3.179749489,0.341479492,0.717047368,0.709347368
W2VLinearSVC,231.0877148,18.04163432,0.704042105,0.697221053
W2VLogisticRegression,311.426476,13.42778425,0.698010526,0.694336842
TFIDFMultinomialNB,2.941520929,0.250668859,0.785647368,0.763663158
W2VLogisticRegression,133.5617695,9.624777842,0.695978947,0.690968421
W2VMultinomialNB,196.0462126,15.14170613,0.661726316,0.654947368
TFIDFLinearSVC,3.032258272,0.237486076,0.7664,0.751726316
W2VDecisionTreeClassifier,128.1879137,10.71594887,0.500084211,0.500084211
TFIDFMultinomialNB,3.254762316,0.270957756,0.775521053,0.758294737
W2VMultinomialNB,93.48699675,8.434725428,0.649436842,0.648968421
TFIDFLinearSVC,3.091054583,0.233408833,0.723531579,0.718505263
TFIDFLogisticRegression,3.250979233,0.23741312,0.755957895,0.745031579
TFIDFLogisticRegression,3.250979233,0.23741312,0.755957895,0.745031579
W2VDecisionTreeClassifier,123.1808058,9.461965036,0.500084211,0.500084211
W2VMultinomialNB,117.7404001,9.456422234,0.641831579,0.640084211
TFIDFDecisionTreeClassifier,2.378417253,0.206643915,0.500105263,0.500105263
TFIDFLogisticRegression,13.23112879,0.207326841,0.810652632,0.774863158
TFIDFMultinomialNB,2.373121834,0.211475992,0.788463158,0.762421053
TFIDFLogisticRegression,4.126426363,0.211519051,0.780747368,0.768484211
TFIDFGaussianNB,5.006914234,0.915870905,0.774984211,0.723221053
TFIDFLogisticRegression,4.956971741,0.210246801,0.805763158,0.764
TFIDFLogisticRegression,2.488454247,0.194463491,0.692384211,0.689852632
W2VDecisionTreeClassifier,161.8930789,13.11860099,0.500105263,0.500105263
W2VGaussianNB,176.8930154,14.82533393,0.599842105,0.590842105
W2VLinearSVC,141.9387683,10.30098205,0.6977,0.694863158
W2VGaussianNB,171.659319,13.60635772,0.599742105,0.593452632
TFIDFGaussianNB,3.242714119,0.423915672,0.745,0.723389474
TFIDFGaussianNB,4.26386652,0.720460367,0.765773684,0.727389474
TFIDFGaussianNB,3.093353653,0.387409735,0.741110526,0.723157895
W2VMultinomialNB,151.7211827,12.31629877,0.669368421,0.666631579
TFIDFLogisticRegression,8.352826881,0.277047205,0.792952632,0.773431579
TFIDFGaussianNB,5.889383745,0.841451406,0.763973684,0.726968421
TFIDFDecisionTreeClassifier,3.289658689,0.266030359,0.500652632,0.500652632
W2VMultinomialNB,119.9684006,8.802853727,0.645015789,0.643515789
W2VDecisionTreeClassifier,76.21843524,7.828406715,0.500652632,0.500652632
TFIDFGaussianNB,8.01602602,1.149862766,0.774452632,0.724652632
W2VLogisticRegression,268.6836112,7.646861839,0.673005263,0.656568421
TFIDFMultinomialNB,2.921326303,0.228996372,0.663984211,0.662989474
TFIDFGaussianNB,3.392377758,0.375563049,0.718373684,0.710378947
TFIDFGaussianNB,7.426843071,1.095425797,0.774394737,0.725431579
TFIDFLinearSVC,4.469062471,0.349004602,0.804052632,0.770821053
TFIDFGaussianNB,4.573307848,0.529518366,0.741721053,0.724884211
TFIDFMultinomialNB,3.587440634,0.265137863,0.7925,0.765473684
W2VMultinomialNB,89.00817218,7.84187932,0.657436842,0.656336842
W2VLinearSVC,178.5093627,12.05579224,0.703068421,0.6996
W2VDecisionTreeClassifier,92.43097191,8.636408234,0.500421053,0.500421053
W2VMultinomialNB,90.19820242,8.587136889,0.631736842,0.629936842
W2VDecisionTreeClassifier,125.253106,9.964034081,0.500421053,0.500421053
W2VGaussianNB,81.01395173,8.128277683,0.636336842,0.637115789
TFIDFMultinomialNB,3.096296406,0.266852808,0.796226316,0.765663158
TFIDFLinearSVC,3.227199602,0.260211706,0.807568421,0.770715789
TFIDFMultinomialNB,3.010059309,0.254560375,0.764342105,0.752294737
TFIDFLogisticRegression,3.500602913,0.262563515,0.790678947,0.765368421
TFIDFLinearSVC,3.842793226,0.266453266,0.806778947,0.775936842
TFIDFMultinomialNB,3.17191453,0.269084692,0.760989474,0.748610526
TFIDFLogisticRegression,7.642414284,0.262171793,0.799963158,0.773578947
TFIDFMultinomialNB,3.046595764,0.256623268,0.751347368,0.741642105
TFIDFLinearSVC,3.099903345,0.247608614,0.735047368,0.728694737
TFIDFLogisticRegression,3.533141422,0.266793299,0.793057895,0.769515789
W2VDecisionTreeClassifier,256.4701036,17.13881078,0.500905263,0.500905263
W2VLogisticRegression,175.2902371,9.722681618,0.676168421,0.671894737
W2VLogisticRegression,261.9289934,15.67606201,0.698510526,0.688442105
W2VGaussianNB,89.91470437,7.114177465,0.625042105,0.624063158
TFIDFLogisticRegression,3.551022816,0.26859808,0.796021053,0.768842105
W2VDecisionTreeClassifier,259.1015833,18.30939174,0.500905263,0.500905263
W2VGaussianNB,164.2105217,10.66935,0.622194737,0.620378947
W2VLinearSVC,127.4291099,9.677466202,0.691363158,0.684547368
W2VLinearSVC,148.1042556,11.04337263,0.695663158,0.691515789
W2VLinearSVC,60.54225788,5.324767208,0.645836842,0.643052632
W2VLogisticRegression,105.0044646,7.120660067,0.689694737,0.685157895
TFIDFLinearSVC,2.931485605,0.231773758,0.767110526,0.752484211
